# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1954
#@/user_id	813273a1-82f8-48ef-b3a3-b5fbee29d649
a 	啊	c=1 d=1 t=1120
hou dian 	后点	c=1 d=1 t=1887
hou mian 	后面	c=2 d=1.11192 t=1888
hou pai 	后排	c=1 d=1 t=1028
hou tai 	后台	c=1 d=1 t=1032
hou xu 	后续	c=1 d=1 t=1846
hu zhao 	护照	c=1 d=1 t=1432
hua 	花	c=1 d=1 t=1500
hua 	话	c=1 d=1 t=1950
huan cheng 	换成	c=2 d=1.03652 t=1520
huan le 	换了	c=1 d=1 t=845
huan yong 	换用	c=1 d=1 t=43
hui 	会	c=2 d=1.00054 t=1591
hui bei 	会被	c=1 d=1 t=1501
hui cheng 	回程	c=1 d=1 t=626
hui da 	回答	c=1 d=1 t=1543
hui dao zhi 	会导致	c=1 d=1 t=38
hui fu 	回复	c=20 d=6.16015 t=1902
hui rang 	会让	c=1 d=1 t=1099
hui se 	灰色	c=1 d=1 t=1024
hui xin 	回信	c=2 d=1.31664 t=1921
hui zi dong 	会自动	c=1 d=1 t=418
huo qu 	获取	c=5 d=1.85725 t=1813
ji chu 	基础	c=1 d=1 t=1176
ji dian 	极点	c=1 d=1 t=93
ji ge 	几个	c=1 d=1 t=1676
ji ke yi 	既可以	c=1 d=1 t=1217
ji lu 	记录	c=3 d=1.15589 t=1594
ji qi ma 	机器码	c=4 d=3.76484 t=809
jia 	加	c=3 d=1.47862 t=371
jia 	夹	c=1 d=1 t=129
jia shang 	加上	c=4 d=1.74141 t=1784
jian ce 	检测	c=1 d=1 t=605
jian zhan 	建站	c=1 d=1 t=540
jiang 	将	c=2 d=1.00791 t=1318
jiao ben 	脚本	c=12 d=7.34049 t=697
jiao cheng 	教程	c=1 d=1 t=512
jie dian 	节点	c=5 d=2.20102 t=1205
jie fa 	解法	c=1 d=1 t=715
jie gou 	结构	c=1 d=1 t=742
jie guo 	结果	c=1 d=1 t=1678
jie jue 	解决	c=3 d=1.055 t=1661
jie ma 	接码	c=1 d=1 t=872
jie shao 	介绍	c=1 d=1 t=252
jie shi 	解释	c=1 d=1 t=1544
jie shi xia 	解释下	c=2 d=1.85214 t=769
jie shi yi xia 	解释一下	c=1 d=1 t=297
jie tu 	截图	c=1 d=1 t=835
jie xi 	解析	c=1 d=1 t=1100
jin cheng 	进程	c=2 d=1.91851 t=582
jin ru 	进入	c=1 d=1 t=516
jin xing 	进行	c=8 d=1.71334 t=1758
jin zhan 	进展	c=1 d=1 t=1802
jiu 	就	c=2 d=1.07172 t=723
jiu ke yi 	就可以	c=2 d=1.02665 t=1943
jiu shi 	就是	c=2 d=1.61263 t=1004
ju 	举	c=0 d=0.1 t=147
ju ti 	具体	c=1 d=1 t=1600
ju zhu 	居住	c=1 d=1 t=1298
ka 	卡	c=1 d=1 t=1485
ka hao 	卡号	c=1 d=1 t=1488
ka zai 	卡在	c=1 d=1 t=450
kai 	开	c=1 d=1 t=309
kai fang 	开放	c=3 d=2.86481 t=317
kai le 	开了	c=2 d=1.9802 t=828
kai qi 	开启	c=3 d=1.64307 t=1194
kai shi 	开始	c=1 d=1 t=1707
kai tong 	开通	c=1 d=1 t=880
kan 	看	c=2 d=1.05313 t=1498
kan dao 	看到	c=1 d=1 t=1112
kan kan 	看看	c=1 d=1 t=1379
kan xia 	看下	c=1 d=1 t=958
ke 	可	c=0 d=0.1 t=43
ke hu duan 	客户端	c=1 d=1 t=430
ke neng 	可能	c=1 d=1 t=987
ke sheng xiao 	可生效	c=1 d=1 t=44
ke yi 	可以	c=17 d=1.99654 t=1769
ken qing 	恳请	c=1 d=1 t=1523
ken qiu 	恳求	c=1 d=1 t=1525
kuo zhan 	扩展	c=1 d=1 t=780
lai 	来	c=2 d=1.17728 t=1542
lan 	栏	c=2 d=1.95123 t=427
lan jie 	拦截	c=1 d=1 t=404
lan li 	栏里	c=1 d=1 t=758
lao 	佬	c=7 d=1.73497 t=1604
lao 	捞	c=1 d=1 t=819
le 	了	c=44 d=8.15337 t=1954
le ma 	了吗	c=1 d=1 t=389
li 	里	c=7 d=1.47984 t=907
li mian 	里面	c=1 d=1 t=472
li xian 	离线	c=1 d=1 t=266
li xiang 	理想	c=1 d=1 t=267
li you 	理由	c=1 d=1 t=1406
li zi 	例子	c=1 d=1 t=149
lian 	链	c=1 d=1.09608 t=374
lian jie 	连接	c=4 d=2.56429 t=1249
lian jie 	链接	c=6 d=1.33273 t=1030
liang tian 	两天	c=2 d=1.8311 t=1724
liao jie 	了解	c=1 d=1 t=1336
ling gen 	灵根	c=2 d=1.96561 t=1610
ling yi ge 	另一个	c=2 d=1.84366 t=152
liu liang 	流量	c=1 d=1 t=305
liu xia 	留下	c=1 d=1 t=1455
lou wang 	漏网	c=2 d=1.82283 t=208
lu jing 	路径	c=4 d=3.11168 t=1166
luo ji 	逻辑	c=1 d=1 t=775
lv yun 	绿云	c=1 d=1 t=629
ma 	吗	c=16 d=2.18663 t=1621
ma 	码	c=1 d=1 t=13
ma fan 	麻烦	c=1 d=1 t=1850
mai cong 	迈从	c=1 d=1 t=777
mei 	没	c=1 d=1 t=331
mei ban fa 	没办法	c=1 d=1 t=942
mei gei wo 	没给我	c=1 d=1 t=1690
mei guo 	美国	c=2 d=1.98511 t=873
mei qu 	美区	c=1 d=1 t=868
mei you 	没有	c=11 d=2.53966 t=1834
men 	们	c=3 d=1.07532 t=1605
mi ma 	密码	c=4 d=1.00126 t=1917
mian 	面	c=1 d=1 t=112
mian ban 	面板	c=7 d=4.08282 t=1161
ming 	名	c=2 d=1.06891 t=681
ming cheng 	名称	c=1 d=1 t=98
ming ling 	命令	c=8 d=4.17925 t=1677
ming ming 	命名	c=1 d=1 t=666
ming que 	明确	c=1 d=1 t=406
ming zi 	名字	c=1 d=1 t=1472
mo ren 	默认	c=1 d=1 t=25
mo shi 	模式	c=1 d=1 t=848
mo xing 	模型	c=1 d=1 t=432
mou ge 	某个	c=2 d=1.70822 t=307
mu qian 	目前	c=0 d=0.1 t=1546
na 	那	c=1 d=0.35284 t=676
na bang wo 	那帮我	c=1 d=1 t=677
na bu shi 	那不是	c=1 d=1 t=384
na ge 	那个	c=1 d=1 t=1895
na wo 	那我	c=2 d=1.01 t=1060
na xie 	哪些	c=2 d=1.85642 t=310
ne 	呢	c=7 d=1.25955 t=1511
nei rong 	内容	c=9 d=1.56737 t=1745
neng 	能	c=2 d=1.01832 t=1035
neng bu neng 	能不能	c=1 d=1 t=1519
neng fou 	能否	c=1 d=1 t=261
neng yong 	能用	c=1 d=1 t=278
ni 	你	c=4 d=1.58913 t=1444
ni an zhao 	你按照	c=1 d=1 t=1445
ni ba 	你把	c=1 d=1 t=1410
ni bang wo 	你帮我	c=1 d=1 t=1402
ni hao 	你好	c=10 d=1.12554 t=1264
ni hen bang 	你很棒	c=1 d=1 t=1171
ni lai 	你来	c=1 d=1 t=1041
ni ma de 	你妈的	c=5 d=4.93067 t=6
ni men 	你们	c=1 d=1 t=1851
ni shang mian 	你上面	c=1 d=1 t=587
ni shi shei 	你是谁	c=1 d=1 t=442
ni shi shui 	你是谁	c=7 d=6.83295 t=452
ni shuo 	你说	c=2 d=1.00628 t=1235
ni shuo de 	你说的	c=1 d=1 t=29
ni shuo de shi 	你说的是	c=0 d=0.1 t=4
ni shuo de shi shen me wan yi 	你说的是什么玩意	c=2 d=1.99005 t=7
ni xu yao 	你需要	c=1 d=1 t=1721
ni zai 	你再	c=1 d=1 t=1223
nv peng you 	女朋友	c=1 d=1 t=1948
ou yuan 	欧元	c=1 d=1 t=1290
pai cha 	排查	c=1 d=1 t=1224
pai chu 	排除	c=1 d=1 t=121
pai zhao 	拍照	c=2 d=1.94649 t=1506
pan duan 	判断	c=2 d=1.70117 t=695
pei zhi 	配置	c=34 d=4.56965 t=1645
pei zhi wen jian 	配置文件	c=1 d=1 t=206
pin yin 	拼音	c=1 d=1.09512 t=39
pu tong 	普通	c=1 d=1 t=186
qi 	其	c=2 d=1.03127 t=787
qi 	器	c=1 d=1 t=354
qi 	起	c=1 d=1 t=96
qi dian 	起点	c=1 d=1 t=1226
qi lai 	起来	c=1 d=1 t=456
qi ming 	起名	c=1 d=1 t=130
qi shen me 	起什么	c=1 d=1 t=143
qi ta 	其他	c=2 d=1.01391 t=1260
qi xi 	七夕	c=1 d=1 t=1946
qian 	前	c=0 d=0.1 t=620
qian mian 	前面	c=0 d=0.1 t=1882
qian ti xia 	前提下	c=1 d=1 t=1222
qian zhui 	前缀	c=1 d=1 t=55
qiang 	强	c=1 d=1 t=1763
qiang lie 	强烈	c=1 d=1 t=1398
qing chu 	清除	c=1 d=1 t=458
qing kong 	清空	c=1 d=1 t=468
qing kuang 	情况	c=2 d=1.00169 t=1546
qing li 	清理	c=2 d=1.58639 t=620
qing li qian 	清理前	c=1 d=1 t=621
qiu 	球	c=1 d=1 t=1524
qu 	去	c=4 d=1.30955 t=1714
qu bie 	区别	c=1 d=1 t=190
qu chu 	去除	c=1 d=1 t=615
qu xiao 	取消	c=4 d=3.44868 t=765
que ren 	确认	c=0 d=0.1 t=960
ran hou 	然后	c=3 d=2.51297 t=1026
rang 	让	c=3 d=1.02388 t=1857
rang ta men 	让他们	c=1 d=1 t=1696
rang wo 	让我	c=1 d=1 t=1451
ren he 	任何	c=2 d=1.56836 t=1845
ren ou 	人偶	c=0 d=0.1 t=630
ren wei 	认为	c=1 d=1 t=1835
ri ben 	日本	c=1 d=1 t=831
ri qi 	日期	c=1 d=1 t=1489
ri zhi 	日志	c=2 d=1.04438 t=1656
rong yi 	容易	c=1 d=1 t=1305
ru guo 	如果	c=3 d=1.94783 t=1504
ru kou 	入口	c=1 d=1 t=538
ru xia 	如下	c=2 d=1.10228 t=1348
ruan jian 	软件	c=2 d=1.00985 t=1576
sai a 	赛啊	c=1 d=1 t=220
san wang 	三网	c=1 d=1 t=625
shang 	上	c=15 d=2.88593 t=1821
shang chuan 	上传	c=2 d=1.20495 t=1154
shang mian 	上面	c=11 d=2.33871 t=1743
shang yi 	上移	c=0 d=0.1 t=156
shang yi yi hang 	上移一行	c=1 d=1 t=157
she bei 	设备	c=1 d=1 t=1564
she zhi 	设置	c=5 d=2.64021 t=1255
shen me 	什么	c=11 d=1.52686 t=1801
shen me cuo 	什么错	c=1 d=1 t=768
shen me wan yi 	什么玩意	c=0 d=0.1 t=4
shen me zi 	什么字	c=1 d=1 t=48
shen mei 	审美	c=1 d=1 t=340
shen qing 	申请	c=6 d=3.71625 t=1399
sheng cheng 	生成	c=2 d=1.00865 t=1448
sheng ji 	升级	c=1 d=1 t=222
sheng pi zi 	生僻字	c=1 d=1 t=46
sheng qi 	生气	c=1 d=1 t=1150
sheng xiao 	生效	c=3 d=1.4046 t=651
shi 	时	c=2 d=1.55156 t=1651
shi 	是	c=21 d=3.62147 t=1869
shi bai 	失败	c=1 d=1 t=838
shi bu shi 	是不是	c=1 d=1 t=195
shi de 	是的	c=2 d=1.45612 t=972
shi fou 	是否	c=1 d=1 t=692
shi hou 	时候	c=3 d=1.44412 t=1251
shi ji 	实际	c=4 d=2.91283 t=1673
shi le 	试了	c=2 d=1.60351 t=944
shi sha 	是啥	c=1 d=1 t=1609
shi shen me 	是什么	c=5 d=1.50172 t=796
shi wu 	失误	c=2 d=1.81873 t=1317
shi xian 	实现	c=2 d=1.49907 t=774
shi xiao 	失效	c=2 d=1.97045 t=42
shi yi xia 	试一下	c=2 d=1.93239 t=934
shi yong 	使用	c=11 d=3.31016 t=1630
shi yong 	适用	c=2 d=1.72615 t=321
shou chi 	手持	c=1 d=1 t=1440
shou dao 	收到	c=2 d=1.21225 t=1731
shou dong 	手动	c=5 d=4.90149 t=166
shou ji 	手机	c=1 d=1 t=1567
shou ji hao 	手机号	c=2 d=1.99005 t=871
shou xian 	首先	c=1 d=1 t=1210
shu biao 	鼠标	c=2 d=1.79453 t=776
shu li 	梳理	c=0 d=0.1 t=739
shu li xia 	梳理下	c=1 d=1 t=740
shu ru 	输入	c=4 d=1.0019 t=1914
